Date, X, Y, Z
A.D. 1900-Sep-20 00:00:00.0000 TDB, -5880.595, -270.0591, -1634.355
A.D. 1900-Sep-21 00:00:00.0000 TDB, -5838.236, -454.1338, -1970.798
A.D. 1900-Sep-22 00:00:00.0000 TDB, -5771.875, -636.1824, -2298.772
A.D. 1900-Sep-23 00:00:00.0000 TDB, -5682.59, -815.5526, -2617.266
A.D. 1900-Sep-24 00:00:00.0000 TDB, -5571.461, -991.6426, -2925.363
A.D. 1900-Sep-25 00:00:00.0000 TDB, -5439.565, -1163.898, -3222.233
A.D. 1900-Sep-26 00:00:00.0000 TDB, -5287.976, -1331.805, -3507.128
A.D. 1900-Sep-27 00:00:00.0000 TDB, -5117.753, -1494.893, -3779.365
A.D. 1900-Sep-28 00:00:00.0000 TDB, -4929.947, -1652.721, -4038.331
A.D. 1900-Sep-29 00:00:00.0000 TDB, -4725.595, -1804.884, -4283.466
A.D. 1900-Sep-30 00:00:00.0000 TDB, -4505.721, -1951.006, -4514.263
A.D. 1900-Oct-01 00:00:00.0000 TDB, -4271.334, -2090.735, -4730.262
A.D. 1900-Oct-02 00:00:00.0000 TDB, -4023.434, -2223.744, -4931.045
A.D. 1900-Oct-03 00:00:00.0000 TDB, -3763.004, -2349.728, -5116.233
A.D. 1900-Oct-04 00:00:00.0000 TDB, -3491.021, -2468.401, -5285.479
A.D. 1900-Oct-05 00:00:00.0000 TDB, -3208.448, -2579.495, -5438.47
A.D. 1900-Oct-06 00:00:00.0000 TDB, -2916.243, -2682.758, -5574.919
A.D. 1900-Oct-07 00:00:00.0000 TDB, -2615.356, -2777.952, -5694.569
A.D. 1900-Oct-08 00:00:00.0000 TDB, -2306.734, -2864.855, -5797.185
A.D. 1900-Oct-09 00:00:00.0000 TDB, -1991.321, -2943.254, -5882.553
A.D. 1900-Oct-10 00:00:00.0000 TDB, -1670.06, -3012.951, -5950.485
A.D. 1900-Oct-11 00:00:00.0000 TDB, -1343.897, -3073.755, -6000.81
A.D. 1900-Oct-12 00:00:00.0000 TDB, -1013.781, -3125.489, -6033.379
A.D. 1900-Oct-13 00:00:00.0000 TDB, -680.6682, -3167.983, -6048.061
A.D. 1900-Oct-14 00:00:00.0000 TDB, -345.5233, -3201.078, -6044.747
A.D. 1900-Oct-15 00:00:00.0000 TDB, -9.322688, -3224.624, -6023.344
A.D. 1900-Oct-16 00:00:00.0000 TDB, 326.9433, -3238.48, -5983.783
A.D. 1900-Oct-17 00:00:00.0000 TDB, 662.2676, -3242.516, -5926.015
A.D. 1900-Oct-18 00:00:00.0000 TDB, 995.6243, -3236.611, -5850.013
A.D. 1900-Oct-19 00:00:00.0000 TDB, 1325.965, -3220.654, -5755.775
A.D. 1900-Oct-20 00:00:00.0000 TDB, 1652.216, -3194.546, -5643.326
A.D. 1900-Oct-21 00:00:00.0000 TDB, 1973.278, -3158.203, -5512.718
A.D. 1900-Oct-22 00:00:00.0000 TDB, 2288.019, -3111.552, -5364.039
A.D. 1900-Oct-23 00:00:00.0000 TDB, 2595.275, -3054.536, -5197.406
A.D. 1900-Oct-24 00:00:00.0000 TDB, 2893.847, -2987.117, -5012.983
A.D. 1900-Oct-25 00:00:00.0000 TDB, 3182.495, -2909.275, -4810.975
A.D. 1900-Oct-26 00:00:00.0000 TDB, 3459.942, -2821.014, -4591.635
A.D. 1900-Oct-27 00:00:00.0000 TDB, 3724.867, -2722.363, -4355.278
A.D. 1900-Oct-28 00:00:00.0000 TDB, 3975.904, -2613.38, -4102.278
A.D. 1900-Oct-29 00:00:00.0000 TDB, 4211.645, -2494.159, -3833.083
A.D. 1900-Oct-30 00:00:00.0000 TDB, 4430.632, -2364.83, -3548.223
A.D. 1900-Oct-31 00:00:00.0000 TDB, 4631.367, -2225.569, -3248.318
A.D. 1900-Nov-01 00:00:00.0000 TDB, 4812.31, -2076.603, -2934.093
A.D. 1900-Nov-02 00:00:00.0000 TDB, 4971.88, -1918.215, -2606.385
A.D. 1900-Nov-03 00:00:00.0000 TDB, 5108.468, -1750.755, -2266.165
A.D. 1900-Nov-04 00:00:00.0000 TDB, 5220.439, -1574.647, -1914.545
A.D. 1900-Nov-05 00:00:00.0000 TDB, 5306.147, -1390.4, -1552.797
A.D. 1900-Nov-06 00:00:00.0000 TDB, 5363.951, -1198.616, -1182.369
A.D. 1900-Nov-07 00:00:00.0000 TDB, 5392.233, -1000.001, -804.899
